Klatka | Preprocess (ms) | Inferencja (ms) | Postprocess (ms) | FPS
   489 |           10.53 |           26.35 |             5.58 | 21.18
   490 |            7.42 |           27.08 |             6.67 | 21.94
   491 |            8.18 |           23.71 |             6.76 | 22.82
   492 |           11.27 |           25.66 |             4.80 | 21.62
   493 |           10.44 |           24.48 |             4.88 | 22.27
   494 |            9.84 |           26.72 |             3.78 | 22.90
   495 |            7.16 |           26.79 |             6.06 | 22.01
   496 |           10.62 |           26.46 |             3.17 | 21.17
   497 |            6.23 |           26.05 |             3.18 | 25.54
   498 |            6.87 |           26.89 |             3.43 | 24.30
   499 |            8.84 |           28.15 |             7.22 | 21.00
   500 |           11.72 |           30.49 |             5.27 | 19.26
   501 |           10.15 |           26.47 |             5.71 | 21.51
   502 |            9.21 |           29.44 |             3.12 | 21.69
   503 |            6.47 |           27.51 |             3.69 | 23.20
   504 |            7.48 |           24.13 |             3.15 | 25.84
   505 |            9.24 |           27.17 |             3.61 | 22.03
   506 |            7.36 |           32.21 |             4.75 | 20.59
   507 |            4.02 |           28.41 |             3.78 | 24.69
   508 |           11.43 |           24.86 |             4.99 | 22.09
   509 |            8.59 |           28.10 |             5.86 | 21.22
